  Hz	 Vrms	dBV
2700	0.070	-23.137
2750	0.073	-22.694
2800	0.077	-22.232
2850	0.081	-21.807
2900	0.086	-21.340
2950	0.090	-20.880
3000	0.096	-20.319
3050	0.102	-19.844
3100	0.109	-19.253
3150	0.117	-18.629
3200	0.125	-18.040
3250	0.134	-17.433
3300	0.145	-16.791
3350	0.157	-16.090
3400	0.170	-15.367
3450	0.187	-14.564
3500	0.204	-13.797
3550	0.222	-13.066
3600	0.236	-12.558
3650	0.265	-11.519
3700	0.286	-10.885
3750	0.312	-10.114
3800	0.320	-9.887
3850	0.328	-9.695
3900	0.327	-9.715
3950	0.315	-10.032
4000	0.300	-10.471
4050	0.288	-10.798
4100	0.270	-11.387
4150	0.252	-11.978
4200	0.236	-12.550
4250	0.220	-13.158
4300	0.206	-13.717
4350	0.195	-14.206
4400	0.183	-14.730
4450	0.174	-15.190
4500	0.165	-15.639
4550	0.158	-16.052
4600	0.150	-16.474
4650	0.143	-16.909
4700	0.137	-17.275
4750	0.131	-17.649
4800	0.127	-17.936
4850	0.121	-18.343
4900	0.118	-18.596
4950	0.114	-18.882
5000	0.109	-19.276
5050	0.106	-19.473
5100	0.103	-19.745
5150	0.099	-20.046
5200	0.097	-20.300
5250	0.094	-20.557
5300	0.091	-20.818
5350	0.089	-21.038
5400	0.087	-21.225
5450	0.084	-21.491
5500	0.082	-21.698
5550	0.080	-21.944
5600	0.078	-22.137
5650	0.077	-22.314
5700	0.075	-22.545
5750	0.073	-22.680
5800	0.072	-22.891
5850	0.070	-23.076
5900	0.069	-23.255
5950	0.067	-23.442
6000	0.066	-23.607
6050	0.065	-23.738
6100	0.064	-23.914
6150	0.062	-24.090
6200	0.061	-24.257
6250	0.060	-24.381
6300	0.060	-24.497
6350	0.058	-24.705
6400	0.057	-24.814
6450	0.057	-24.943
6500	0.055	-25.129
6550	0.055	-25.218
6600	0.054	-25.393
6650	0.053	-25.482
6700	0.052	-25.627
6750	0.052	-25.744
6800	0.051	-25.899
6850	0.050	-25.983
6900	0.049	-26.127
6950	0.049	-26.281
7000	0.048	-26.347
7050	0.047	-26.491
7100	0.047	-26.595
7150	0.046	-26.689
7200	0.046	-26.821
7250	0.045	-26.937
7300	0.045	-27.014
7350	0.044	-27.136
7400	0.043	-27.254
7450	0.043	-27.334
7500	0.042	-27.434
7550	0.042	-27.495
7600	0.042	-27.614
7650	0.041	-27.689
7700	0.041	-27.817
7750	0.040	-27.903
7800	0.040	-28.002
7850	0.040	-28.041
7900	0.039	-28.153
7950	0.039	-28.240
8000	0.038	-28.339
8050	0.038	-28.435
8100	0.038	-28.514
8150	0.037	-28.605
8200	0.037	-28.671
8250	0.036	-28.754
8300	0.036	-28.845
8350	0.036	-28.906
8400	0.035	-29.016
8450	0.035	-29.110
8500	0.035	-29.166
8550	0.034	-29.249
8600	0.034	-29.341
8650	0.034	-29.406
8700	0.034	-29.461
8750	0.033	-29.527
8800	0.033	-29.612
8850	0.033	-29.680
8900	0.033	-29.757
8950	0.032	-29.842
9000	0.032	-29.896
9050	0.032	-29.953
9100	0.032	-30.030
9150	0.031	-30.111
9200	0.031	-30.168
9250	0.031	-30.216
9300	0.030	-30.319
9350	0.030	-30.380
9400	0.030	-30.449
9450	0.030	-30.497
9500	0.030	-30.541
9550	0.029	-30.608
9600	0.029	-30.693
9650	0.029	-30.753
9700	0.029	-30.839
9750	0.029	-30.883
9800	0.028	-30.935
9850	0.028	-30.970
9900	0.028	-31.059
9950	0.028	-31.135
10000	0.028	-31.157
