
TIME STEP:
125 = 1ms

VOLTAGE STEP:
CH1:  32 = 0.5V~
CH2:  32 = 0.5V~

N	CH1	CH2
825	128	210
826	126	193
827	124	173
828	123	153
829	121	135
830	120	121
831	118	113
832	118	112
833	117	117
834	117	126
835	118	138
836	120	151
837	121	162
838	123	169
839	126	171
840	128	170
841	130	164
842	133	156
843	135	147
844	136	140
845	137	136
846	139	137
847	139	143
848	140	154
849	140	171
850	140	189
851	139	209
852	139	225
853	139	236
854	138	242
855	136	242
856	135	234
857	134	221
858	132	204
859	129	187
860	127	169
861	125	156
862	122	147
863	120	143
864	119	144
865	118	150
866	117	158
867	117	168
868	117	176
869	119	181
870	120	181
871	121	178
872	123	169
873	125	158
874	127	146
875	129	135
876	131	127
877	132	126
878	134	129
879	135	139
880	136	154
881	137	174
882	138	195
883	139	215
884	140	231
885	140	242
886	140	246
887	140	245
888	140	236
889	138	224
890	137	209
891	135	194
892	132	182
893	130	175
894	127	172
895	125	173
896	123	179
897	121	186
898	120	195
899	119	201
900	118	204
901	118	204
902	119	198
903	120	187
904	120	172
905	122	156
906	123	142
907	124	129
908	125	122
909	126	122
910	128	128
911	130	140
912	131	157
913	133	176
914	135	197
915	137	214
916	138	229
917	140	237
918	141	238
919	142	236
920	142	228
921	141	217
922	140	206
923	139	197
924	137	190
925	135	189
926	132	192
927	130	199
928	127	210
929	126	220
930	124	229
931	123	233
932	122	233
933	121	227
934	120	215
935	120	199
936	120	180
937	120	161
938	120	144
939	120	132
940	121	126
941	121	127
942	123	134
943	124	147
944	126	163
945	128	181
946	130	198
947	132	211
948	135	220
949	137	223
950	139	223
951	140	218
952	141	210
953	141	201
954	141	195
955	141	191
956	140	192
957	138	197
958	137	208
959	135	220
960	133	233
961	132	246
962	130	255
963	128	255
964	127	255
965	125	246
966	124	231
967	123	212
968	122	191
969	121	171
970	119	154
971	119	143
972	118	140
973	118	141
974	118	149
975	119	160
976	121	174
977	123	189
978	125	201
979	127	209
980	130	210
981	132	208
982	134	203
983	136	195
984	138	186
985	139	180
986	140	179
987	140	180
988	140	187
989	140	199
990	139	215
991	138	233
992	137	249
993	136	255
994	135	255
995	134	255
996	133	255
997	131	255
998	129	239
999	127	220
1000	126	201
1001	123	184
1002	122	170
1003	120	161
1004	119	160
1005	118	163
1006	117	171
1007	117	181
1008	118	192
1009	119	201
1010	121	206
1011	123	206
1012	125	202
1013	127	194
1014	129	183
1015	131	171
1016	133	163
1017	134	159
1018	136	160
1019	137	167
1020	137	179
1021	138	196
1022	139	216
1023	139	235
1024	139	253
1025	139	255
1026	139	255
1027	139	255
1028	138	255
1029	136	254
1030	135	238
1031	133	221
1032	130	206
1033	128	194
1034	125	187
1035	123	184
1036	121	185
1037	120	191
1038	118	199
1039	118	207
1040	118	213
1041	118	215
1042	119	214
1043	120	207
1044	121	197
1045	123	183
1046	124	168
1047	126	156
1048	127	147
1049	130	145
1050	130	146
1051	132	155
1052	133	170
1053	135	189
1054	136	210
1055	138	230
1056	139	247
1057	140	255
1058	141	255
1059	141	255
1060	141	254
1061	141	244
1062	139	230
1063	137	217
1064	135	206
1065	133	200
1066	130	199
1067	128	202
1068	126	209
1069	124	218
1070	122	227
1071	121	233
1072	120	234
1073	120	233
1074	119	224
1075	120	211
1076	120	195
1077	120	177
1078	121	159
1079	121	146
1080	122	137
1081	123	136
1082	124	140
1083	126	151
1084	128	166
1085	130	184
1086	132	203
1087	134	220
1088	136	233
1089	138	241
1090	140	241
1091	141	239
1092	141	231
1093	141	222
1094	141	212
1095	140	204
1096	139	200
1097	137	201
1098	135	206
1099	133	215
1100	131	226
1101	129	238
1102	127	249
1103	126	253
1104	125	253
1105	124	246
1106	122	233
1107	122	216
1108	120	196
1109	120	175
1110	119	156
1111	119	143
1112	119	135
1113	119	135
1114	120	140
1115	121	151
1116	123	166
1117	124	182
1118	127	197
1119	129	209
1120	132	215
1121	134	216
1122	136	215
1123	138	209
1124	139	200
1125	140	193
1126	141	187
1127	141	186
1128	140	188
1129	140	195
1130	138	207
1131	137	221
1132	136	236
1133	134	249
1134	133	255
1135	131	255
1136	130	255
1137	129	251
1138	127	237
1139	125	218
1140	124	197
1141	122	177
1142	120	160
1143	119	149
1144	118	143
1145	118	144
1146	118	150
1147	118	159
1148	119	172
1149	121	184
1150	122	194
1151	124	199
1152	127	199
1153	129	195
1154	131	186
1155	133	176
1156	135	167
1157	137	161
1158	137	160
1159	138	161
1160	139	169
1161	139	183
1162	139	199
1163	139	219
1164	139	236
1165	138	251
1166	138	255
1167	137	255
1168	136	255
1169	134	246
1170	132	231
1171	130	213
1172	128	195
1173	126	179
1174	124	166
1175	121	158
1176	120	157
1177	119	160
1178	118	166
1179	117	175
1180	117	183
1181	118	190
1182	119	192
1183	121	191
1184	122	184
1185	124	174
1186	126	161
1187	128	149
1188	130	139
1189	131	133
1190	133	132
1191	134	139
1192	135	151
1193	136	168
1194	137	188
1195	138	208
1196	139	226
1197	140	240
1198	140	248
1199	140	248
1200	140	243
1201	139	232
1202	137	218
1203	135	202
1204	133	187
1205	131	177
1206	129	171
1207	126	170
1208	124	172
1209	122	179
1210	120	186
1211	119	193
1212	119	199
1213	119	199
1214	118	195
1215	119	187
1216	120	173
1217	121	157
1218	122	141
1219	123	127
1220	124	116
1221	126	112
1222	127	113
1223	128	121
1224	130	135
1225	132	153
1226	133	173
1227	135	192
1228	137	208
1229	139	219
1230	140	223
1231	141	223
1232	141	217
1233	141	207
1234	141	195
1235	139	184
1236	138	175
1237	136	170
1238	133	170
1239	131	176
1240	129	184
1241	127	195
1242	125	203
1243	124	210
1244	122	211
1245	121	208
1246	120	199
1247	120	185
1248	120	166
1249	120	147
1250	120	128
1251	120	112
1252	120	102
1253	121	99
1254	121	101
1255	123	111
1256	124	125
1257	126	142
1258	129	159
1259	131	174
1260	133	185
1261	136	192
1262	138	192
1263	139	189
1264	141	182
1265	141	173
1266	141	164
1267	141	159
1268	140	157
1269	139	159
1270	137	166
1271	136	177
1272	134	189
1273	132	202
1274	131	213
1275	129	219
1276	127	219
1277	126	213
1278	125	199
1279	124	182
1280	122	161
1281	121	140
1282	120	121
1283	119	107
1284	118	97
1285	118	96
1286	118	100
1287	118	109
1288	120	122
1289	121	136
1290	123	149
1291	126	158
1292	128	163
1293	131	163
1294	133	159
1295	135	152
1296	137	143
1297	138	135
1298	139	130
1299	140	129
1300	140	133
1301	140	142
1302	139	155
1303	138	171
1304	138	188
1305	137	202
1306	136	214
1307	135	216
1308	134	216
1309	132	207
1310	130	193
1311	128	175
1312	126	155
1313	124	137
1314	122	120
1315	121	108
1316	119	102
1317	118	102
1318	117	107
1319	117	116
1320	117	127
1321	118	136
1322	119	143
1323	122	145
1324	124	144
1325	126	137
1326	128	128
1327	130	117
1328	132	105
1329	134	98
1330	135	96
1331	136	98
1332	137	107
1333	138	122
1334	138	139
1335	139	159
1336	139	177
1337	139	193
1338	139	202
1339	139	204
1340	138	202
1341	137	193
1342	136	179
1343	134	162
1344	131	146
1345	129	131
1346	127	120
1347	124	113
1348	122	112
1349	120	114
1350	119	121
1351	118	129
1352	117	137
1353	117	141
1354	118	141
1355	119	137
1356	120	128
1357	122	116
1358	123	101
1359	125	87
1360	127	76
1361	128	69
1362	130	68
1363	131	73
1364	132	85
1365	134	101
1366	135	121
1367	137	141
1368	138	159
1369	140	173
1370	140	182
1371	141	182
1372	141	179
1373	141	169
1374	140	157
1375	138	143
1376	137	131
1377	134	121
1378	132	117
1379	129	117
1380	127	122
1381	125	129
1382	123	137
1383	121	145
1384	120	149
1385	120	149
1386	119	144
1387	119	133
1388	119	118
1389	119	100
1390	120	83
1391	121	66
1392	121	54
1393	122	48
1394	124	49
1395	125	56
1396	127	69
1397	129	86
1398	131	104
1399	133	122
1400	135	137
1401	137	148
1402	139	152
1403	140	151
1404	141	146
1405	142	137
1406	142	127
1407	141	118
1408	140	111
1409	138	110
1410	137	111
1411	134	118
1412	132	128
1413	130	139
1414	128	150
1415	126	157
1416	125	158
1417	124	156
1418	123	147
1419	122	131
1420	121	112
1421	120	91
1422	119	71
1423	119	55
1424	118	42
1425	119	38
1426	119	39
1427	120	48
1428	121	61
1429	123	77
1430	125	92
1431	128	104
1432	130	115
1433	133	119
1434	135	119
1435	137	115
1436	139	108
1437	140	99
1438	141	92
1439	141	88
1440	141	88
1441	140	91
1442	139	101
1443	138	114
1444	137	129
1445	135	143
1446	134	155
1447	132	161
1448	131	161
1449	129	155
1450	128	145
1451	126	128
1452	124	107
1453	123	86
1454	121	67
1455	120	52
1456	118	42
1457	118	41
1458	117	43
1459	117	51
1460	117	63
1461	119	75
1462	121	86
1463	123	93
1464	125	95
1465	127	94
1466	130	88
1467	132	80
1468	134	70
1469	136	61
1470	137	56
1471	138	56
1472	139	61
1473	139	72
1474	139	87
1475	139	104
1476	139	123
1477	139	139
1478	138	151
1479	137	156
1480	136	156
1481	135	149
1482	133	136
1483	131	119
1484	129	100
1485	127	83
1486	125	67
1487	123	56
1488	121	51
1489	119	52
1490	118	56
1491	117	64
1492	117	73
1493	117	81
1494	118	86
1495	119	86
1496	121	82
1497	123	74
1498	125	61
1499	127	50
1500	129	38
1501	131	29
1502	132	26
1503	134	28
1504	135	38
1505	136	52
1506	137	71
1507	138	91
1508	139	111
1509	140	127
1510	140	138
1511	140	142
1512	140	141
1513	140	133
1514	138	120
1515	137	105
1516	135	90
1517	132	77
1518	130	68
1519	127	63
1520	125	63
1521	123	67
1522	121	75
1523	119	83
1524	118	89
1525	118	92
1526	118	92
1527	118	86
1528	119	74
1529	120	60
1530	121	43
1531	122	28
1532	123	14
1533	125	6
1534	126	5
1535	128	9
1536	129	21
1537	131	37
1538	133	56
1539	135	76
1540	137	94
1541	139	108
1542	140	117
1543	141	118
1544	142	116
1545	142	108
1546	141	97
1547	141	86
1548	139	76
1549	137	69
1550	135	67
1551	132	69
1552	130	75
1553	128	85
1554	126	94
1555	124	101
1556	123	107
1557	122	107
1558	121	101
1559	120	89
1560	120	73
1561	119	54
1562	119	33
1563	119	16
1564	120	2
1565	120	0
1566	121	0
1567	122	1
1568	124	14
1569	125	29
1570	127	47
1571	130	64
1572	132	78
1573	135	88
1574	137	91
1575	139	91
1576	140	86
1577	142	78
1578	142	69
1579	142	61
1580	141	57
1581	140	57
1582	139	62
1583	137	71
1584	135	83
1585	133	96
1586	131	108
1587	130	117
1588	128	119
1589	127	118
1590	125	108
1591	124	93
1592	123	74
1593	121	53
1594	120	33
1595	119	15
1596	118	3
1597	118	0
1598	118	0
1599	118	5
1600	119	17
1601	121	31
1602	122	45
1603	125	57
1604	127	65
1605	130	67
1606	132	67
1607	134	61
1608	136	54
1609	138	45
1610	139	38
1611	140	35
1612	140	36
1613	140	42
1614	140	54
1615	139	70
1616	139	86
1617	138	102
1618	137	116
1619	135	124
1620	134	125
1621	133	121
1622	131	111
1623	129	94
1624	127	76
1625	126	56
1626	123	38
1627	121	23
1628	120	14
1629	118	12
1630	117	14
1631	117	21
1632	117	31
1633	118	42
1634	119	51
1635	120	56
1636	122	57
1637	124	54
1638	127	46
1639	129	36
1640	131	25
1641	133	16
1642	135	11
1643	136	11
1644	137	17
1645	138	29
1646	138	45
1647	139	64
1648	140	85
1649	140	102
1650	140	115
1651	140	123
1652	139	123
1653	138	118
1654	137	106
1655	135	91
1656	133	75
1657	130	58
1658	128	45
1659	126	36
1660	123	32
1661	121	33
1662	119	38
1663	118	46
1664	117	54
1665	117	61
1666	118	63
1667	118	63
1668	119	57
1669	121	47
1670	122	33
1671	124	19
1672	126	6
1673	127	0
1674	129	0
1675	130	0
1676	132	3
1677	134	18
1678	135	37
1679	136	58
1680	138	78
1681	139	95
1682	140	107
1683	141	112
1684	141	112
1685	141	106
1686	141	95
1687	139	83
1688	138	69
1689	135	58
1690	133	51
1691	131	50
1692	128	52
1693	126	59
1694	124	66
1695	122	75
1696	121	82
1697	120	84
1698	119	83
1699	119	75
1700	119	62
1701	119	46
1702	120	29
1703	120	11
1704	121	0
1705	122	0
1706	123	0
1707	125	0
1708	126	0
1709	128	15
1710	129	34
1711	132	53
1712	134	71
1713	136	85
1714	138	93
1715	140	94
1716	141	93
1717	142	87
1718	142	77
1719	141	67
1720	141	60
1721	139	55
1722	137	56
1723	135	61
1724	134	69
1725	131	81
1726	129	92
1727	127	101
1728	126	107
1729	125	107
1730	123	102
1731	122	90
1732	121	73
1733	120	53
1734	120	33
1735	119	15
1736	119	0
1737	119	0
1738	119	0
1739	120	0
1740	121	7
1741	122	22
1742	124	38
1743	127	54
1744	129	67
1745	132	75
1746	135	78
1747	137	77
1748	138	71
1749	140	63
1750	141	56
1751	141	50
1752	141	49
1753	141	50
1754	140	57
1755	139	68
1756	137	83
1757	136	98
1758	135	112
1759	133	122
1760	132	126
1761	130	125
1762	129	118
1763	127	103
1764	125	86
1765	124	65
1766	122	45
1767	120	27
1768	119	15
1769	118	9
1770	117	9
1771	117	16
1772	118	26
1773	119	38
1774	120	51
1775	121	61
1776	124	67
1777	126	68
1778	129	66
1779	131	59
1780	133	50
1781	135	41
1782	137	35
1783	138	33
1784	139	34
1785	139	43
1786	139	56
1787	140	73
1788	140	91
1789	139	109
1790	139	125
1791	138	135
1792	137	137
1793	136	136
1794	135	126
1795	133	111
1796	131	94
1797	128	76
1798	126	60
1799	124	47
1800	122	38
1801	120	37
1802	118	39
1803	117	46
1804	117	55
1805	117	64
1806	118	72
1807	119	75
1808	120	75
1809	122	69
1810	124	59
1811	126	48
1812	128	35
1813	130	25
1814	131	19
1815	133	19
1816	134	25
1817	135	38
1818	137	56
1819	138	76
1820	139	96
1821	140	115
1822	140	129
1823	141	138
1824	141	139
1825	140	137
1826	139	127
1827	138	114
1828	136	98
1829	134	85
1830	131	73
1831	129	67
1832	126	66
1833	124	68
1834	122	74
1835	120	82
1836	119	90
1837	118	96
1838	118	97
1839	119	95
1840	119	88
1841	120	75
1842	121	61
1843	121	45
1844	123	30
1845	124	19
1846	126	15
1847	127	16
1848	129	25
1849	130	39
1850	132	57
1851	134	78
1852	136	98
1853	137	115
1854	139	127
1855	141	134
1856	142	134
1857	142	129
1858	142	120
1859	141	109
1860	140	98
1861	138	89
1862	136	86
1863	134	86
1864	132	90
1865	129	98
1866	127	108
1867	125	119
1868	124	126
1869	122	128
1870	121	128
1871	121	119
1872	120	106
1873	120	88
1874	120	69
1875	120	51
1876	120	36
1877	120	25
1878	121	22
1879	122	24
1880	123	33
1881	124	49
1882	127	66
1883	129	85
1884	131	100
1885	133	113
1886	136	121
1887	138	122
1888	139	121
1889	141	115
1890	142	106
1891	142	98
1892	142	92
1893	141	91
1894	140	93
1895	138	100
1896	136	112
1897	134	125
1898	133	138
1899	131	150
1900	129	157
1901	127	157
1902	126	153
1903	125	142
1904	124	125
1905	122	105
1906	121	85
1907	120	66
1908	119	52
1909	118	43
1910	118	41
1911	119	46
1912	119	54
1913	120	68
1914	121	83
1915	123	96
1916	126	107
1917	128	114
1918	131	114
1919	133	111
1920	135	105
1921	137	98
1922	139	90
1923	140	86
1924	140	85
1925	140	88
1926	140	98
1927	140	111
1928	139	128
1929	138	145
1930	137	160
1931	136	173
1932	135	178
1933	133	178
1934	132	171
1935	130	159
1936	128	142
1937	127	123
1938	125	104
1939	123	88
1940	121	76
1941	119	70
1942	118	70
1943	117	76
1944	117	85
1945	117	95
1946	118	106
1947	119	115
1948	121	118
1949	124	118
1950	126	113
1951	128	104
1952	130	94
1953	132	84
1954	134	77
1955	135	75
1956	136	77
1957	137	87
1958	138	100
1959	139	119
1960	139	139
1961	140	158
1962	140	175
1963	140	186
1964	140	190
1965	139	190
1966	138	181
1967	136	168
1968	134	152
1969	132	136
1970	129	122
1971	127	111
1972	124	104
1973	122	103
1974	120	107
1975	119	114
1976	118	123
1977	117	131
1978	118	136
1979	118	137
1980	119	135
1981	120	127
1982	122	116
1983	123	102
1984	125	89
1985	127	78
1986	128	71
1987	130	70
1988	131	75
1989	133	87
1990	134	104
1991	136	127
1992	137	150
1993	139	168
1994	140	183
1995	141	191
1996	141	192
1997	141	189
1998	141	179
1999	140	167
2000	139	153
2001	137	143
2002	134	135
2003	132	132
2004	129	133
2005	127	139
2006	125	147
2007	123	156
2008	122	164
2009	120	168
2010	120	168
2011	119	163
2012	119	153
2013	119	138
2014	120	121
2015	120	103
2016	121	88
2017	122	78
2018	123	74
2019	123	76
2020	125	85
2021	127	99
2022	129	117
2023	131	136
2024	133	154
2025	135	169
2026	137	180
2027	139	184
2028	141	184
2029	142	179
2030	142	170
2031	142	161
2032	141	152
2033	140	148
2034	138	147
2035	137	151
2036	134	157
2037	132	168
2038	130	181
2039	128	192
2040	127	199
2041	125	200
2042	124	199
2043	122	189
2044	122	174
2045	121	155
2046	120	135
2047	119	116
2048	119	101
2049	119	91
2050	119	89
2051	119	91
2052	120	100
2053	122	115
2054	123	131
2055	126	147
2056	128	161
2057	131	169
2058	133	175
2059	136	175
2060	137	170
2061	139	163
2062	140	155
2063	141	150
2064	141	146
2065	141	147
2066	141	152
2067	139	163
2068	138	178
2069	137	193
2070	135	207
2071	134	219
2072	133	227
2073	131	227
2074	129	221
2075	128	210
2076	126	193
2077	124	173
2078	123	153
2079	121	135
2080	120	121
2081	119	113
2082	118	112
2083	117	117
2084	117	126
2085	118	138
2086	119	151
2087	121	161
2088	123	169
2089	125	171
2090	128	170
2091	131	164
2092	133	156
2093	135	147
2094	136	140
2095	138	136
2096	138	137
2097	139	144
2098	139	155
2099	140	171
2100	140	190
2101	139	209
2102	139	225
2103	138	237
2104	138	242
2105	137	241
2106	135	234
2107	134	221
2108	132	204
2109	129	187
2110	127	170
2111	125	156
2112	123	147
