
TIME STEP:
125 = 2ms

VOLTAGE STEP:
CH1:  32 = 0.5V~
CH2:  32 = 0.5V~

N	CH1	CH2
1410	147	202
1411	142	201
1412	137	200
1413	138	203
1414	145	213
1415	152	225
1416	152	232
1417	145	230
1418	129	217
1419	112	196
1420	101	177
1421	101	167
1422	110	168
1423	123	178
1424	133	187
1425	135	193
1426	134	192
1427	130	189
1428	131	190
1429	139	199
1430	150	215
1431	159	232
1432	159	241
1433	150	240
1434	134	227
1435	117	208
1436	107	192
1437	107	184
1438	114	185
1439	123	190
1440	127	191
1441	126	190
1442	120	183
1443	119	177
1444	123	179
1445	136	191
1446	152	211
1447	162	231
1448	162	242
1449	153	242
1450	138	231
1451	124	216
1452	117	205
1453	118	202
1454	123	203
1455	125	204
1456	124	201
1457	116	191
1458	108	177
1459	107	168
1460	114	169
1461	131	183
1462	148	203
1463	159	223
1464	159	233
1465	151	233
1466	139	225
1467	130	217
1468	129	215
1469	131	216
1470	133	220
1471	132	220
1472	124	210
1473	112	194
1474	101	175
1475	100	163
1476	108	164
1477	125	177
1478	142	195
1479	152	211
1480	152	217
1481	145	216
1482	138	213
1483	136	212
1484	138	216
1485	144	225
1486	145	231
1487	140	231
1488	127	218
1489	111	198
1490	99	178
1491	98	165
1492	106	165
1493	121	175
1494	134	187
1495	140	197
1496	140	198
1497	135	196
1498	133	195
1499	135	199
1500	145	212
1501	154	227
1502	154	235
1503	147	235
1504	132	222
1505	114	202
1506	102	183
1507	101	171
1508	108	170
1509	119	177
1510	128	183
1511	129	184
1512	126	180
1513	123	174
1514	124	173
1515	134	183
1516	147	200
1517	158	220
1518	159	231
1519	152	231
1520	136	220
1521	120	202
1522	110	186
1523	110	179
1524	115	180
1525	122	182
1526	122	182
1527	119	175
1528	113	163
1529	111	154
1530	116	154
1531	129	165
1532	146	185
1533	158	206
1534	159	218
1535	153	218
1536	139	209
1537	127	197
1538	121	189
1539	122	188
1540	126	189
1541	127	189
1542	123	183
1543	113	169
1544	103	151
1545	101	140
1546	108	139
1547	123	151
1548	141	168
1549	153	187
1550	154	197
1551	148	197
1552	138	192
1553	131	185
1554	131	185
1555	135	189
1556	137	195
1557	136	195
1558	125	184
1559	110	165
1560	98	145
1561	96	131
1562	103	130
1563	118	138
1564	134	153
1565	144	167
1566	144	171
1567	140	171
1568	134	167
1569	134	168
1570	139	175
1571	146	187
1572	148	196
1573	144	196
1574	130	184
1575	113	163
1576	99	142
1577	97	128
1578	103	126
1579	116	132
1580	129	143
1581	132	148
1582	132	148
1583	128	143
1584	127	142
1585	132	146
1586	144	160
1587	154	177
1588	156	189
1589	151	189
1590	136	179
1591	117	159
1592	105	141
1593	104	130
1594	108	128
1595	117	131
1596	123	134
1597	123	133
1598	118	124
1599	115	116
1600	117	115
1601	129	123
1602	144	141
1603	157	161
1604	159	175
1605	154	175
1606	139	166
1607	124	151
1608	115	138
1609	114	132
1610	118	132
1611	122	133
1612	122	131
1613	115	121
1614	107	106
1615	105	94
1616	109	93
1617	123	102
1618	141	121
1619	154	141
1620	156	154
1621	152	154
1622	140	149
1623	130	139
1624	126	133
1625	127	134
1626	131	137
1627	131	137
1628	124	131
1629	112	115
1630	99	95
1631	97	81
1632	102	79
1633	117	86
1634	135	102
1635	148	119
1636	149	128
1637	145	128
1638	137	124
1639	133	122
1640	134	123
1641	140	131
1642	142	139
1643	141	139
1644	129	130
1645	113	110
1646	99	89
1647	96	73
1648	101	71
1649	115	76
1650	129	88
1651	138	98
1652	138	101
1653	134	100
1654	132	98
1655	133	99
1656	140	109
1657	150	124
1658	152	136
1659	149	137
1660	135	127
1661	117	107
1662	103	87
1663	100	72
1664	104	70
1665	115	73
1666	125	80
1667	127	81
1668	126	79
1669	122	73
1670	122	72
1671	129	77
1672	143	92
1673	156	110
1674	158	127
1675	155	128
1676	140	120
1677	124	103
1678	111	86
1679	109	75
1680	112	74
1681	119	77
1682	121	77
1683	120	72
1684	113	61
1685	110	51
1686	112	49
1687	124	56
1688	141	74
1689	155	95
1690	158	110
1691	156	112
1692	143	106
1693	130	95
1694	121	84
1695	120	81
1696	125	82
1697	126	83
1698	125	80
1699	115	68
1700	105	51
1701	102	37
1702	105	34
1703	119	40
1704	137	58
1705	151	78
1706	153	91
1707	151	92
1708	142	88
1709	133	83
1710	131	81
1711	134	84
1712	138	90
1713	138	91
1714	129	85
1715	115	68
1716	101	47
1717	97	30
1718	100	27
1719	114	31
1720	131	47
1721	143	62
1722	144	70
1723	142	70
1724	136	67
1725	135	67
1726	138	72
1727	146	83
1728	149	94
1729	148	96
1730	136	89
1731	118	71
1732	103	49
1733	99	32
1734	101	29
1735	114	32
1736	126	42
1737	133	50
1738	133	51
1739	130	49
1740	129	47
1741	132	50
1742	142	62
1743	153	80
1744	158	95
1745	156	97
1746	142	91
1747	124	74
1748	109	54
1749	106	41
1750	108	38
1751	117	40
1752	124	45
1753	125	45
1754	122	39
1755	117	31
1756	118	29
1757	127	34
1758	142	52
1759	156	72
1760	161	89
1761	160	92
1762	146	89
1763	130	74
1764	118	60
1765	116	53
1766	119	52
1767	124	55
1768	124	55
1769	120	47
1770	111	34
1771	107	21
1772	108	18
1773	121	23
1774	139	41
1775	155	63
1776	159	80
1777	157	83
1778	146	81
1779	134	72
1780	128	65
1781	129	65
1782	133	70
1783	134	71
1784	130	69
1785	119	55
1786	106	36
1787	100	20
1788	102	17
1789	116	21
1790	134	37
1791	148	56
1792	152	68
1793	150	70
1794	143	69
1795	136	66
1796	136	67
1797	141	75
1798	146	85
1799	146	87
1800	137	83
1801	121	66
1802	105	45
1803	98	27
1804	100	23
1805	113	26
1806	129	39
1807	140	52
1808	141	58
1809	139	58
1810	135	56
1811	135	57
1812	141	67
1813	151	82
1814	156	95
1815	155	98
1816	143	95
1817	125	79
1818	109	58
1819	103	42
1820	105	38
1821	115	40
1822	126	49
1823	130	53
1824	130	53
1825	126	48
1826	125	46
1827	130	50
1828	143	65
1829	156	84
1830	162	101
1831	161	106
1832	149	104
1833	131	90
1834	117	73
1835	112	62
1836	114	60
1837	121	61
1838	125	63
1839	125	62
1840	119	54
1841	113	43
1842	114	40
1843	123	45
1844	140	62
1845	156	84
1846	163	102
1847	162	109
1848	150	107
1849	136	96
1850	126	87
1851	124	82
1852	127	83
1853	130	86
1854	130	86
1855	123	77
1856	111	62
1857	105	47
1858	106	42
1859	117	46
1860	136	63
1861	152	84
1862	158	101
1863	157	106
1864	148	105
1865	139	99
1866	135	97
1867	136	100
1868	141	107
1869	141	110
1870	136	109
1871	123	96
1872	108	76
1873	100	58
1874	101	53
1875	114	56
1876	131	70
1877	144	87
1878	148	98
1879	147	100
1880	141	99
1881	139	99
1882	140	103
1883	147	115
1884	153	128
1885	153	132
1886	143	130
1887	127	115
1888	110	94
1889	102	77
1890	102	71
1891	113	73
1892	126	83
1893	136	93
1894	137	96
1895	134	96
1896	132	94
1897	133	96
1898	142	107
1899	154	125
1900	161	143
1901	161	149
1902	149	148
1903	132	133
1904	116	114
1905	108	99
1906	109	94
1907	117	96
1908	126	103
1909	127	103
1910	126	101
1911	121	94
1912	120	92
1913	126	94
1914	141	109
1915	156	131
1916	164	151
1917	164	159
1918	153	158
1919	137	147
1920	124	133
1921	119	124
1922	120	123
1923	126	125
1924	127	126
1925	125	123
1926	116	111
1927	109	98
1928	109	93
1929	119	96
1930	138	114
1931	154	136
1932	162	154
1933	161	161
1934	150	160
1935	139	153
1936	131	147
1937	131	146
1938	134	150
1939	135	153
1940	134	152
1941	123	142
1942	110	124
1943	102	107
1944	103	102
1945	116	105
1946	133	122
1947	148	141
1948	154	155
1949	153	160
1950	146	159
1951	139	156
1952	138	157
1953	142	164
1954	147	175
1955	147	179
1956	141	177
1957	125	163
1958	109	143
1959	101	125
1960	102	118
1961	113	121
1962	128	133
1963	140	147
1964	143	154
1965	142	155
1966	137	153
1967	136	154
1968	142	163
1969	151	177
1970	158	192
1971	158	198
1972	147	197
1973	130	182
1974	113	162
1975	104	146
1976	105	139
1977	115	141
1978	126	149
1979	132	155
1980	132	155
1981	128	151
1982	126	149
1983	130	151
1984	141	164
1985	155	184
1986	163	202
1987	163	211
1988	152	209
1989	135	197
1990	120	180
1991	113	167
1992	114	164
1993	121	166
1994	126	168
1995	126	168
1996	121	161
1997	114	151
1998	114	147
1999	122	149
2000	138	164
2001	154	186
2002	163	206
2003	163	215
2004	153	214
2005	139	205
2006	128	194
2007	125	188
2008	127	189
2009	131	192
2010	131	192
2011	124	185
2012	113	170
2013	104	155
2014	105	148
2015	115	150
2016	132	165
2017	149	186
2018	158	203
2019	158	211
2020	149	211
2021	140	205
2022	134	202
2023	135	203
2024	140	210
2025	141	215
2026	137	214
2027	125	201
2028	110	183
2029	100	164
2030	100	155
2031	111	156
2032	127	169
2033	142	186
2034	148	199
2035	147	201
2036	141	201
2037	137	200
2038	138	203
2039	145	213
2040	152	225
2041	152	232
2042	145	231
2043	129	217
2044	112	197
2045	101	177
2046	100	167
2047	110	168
2048	124	178
2049	134	188
2050	135	192
2051	134	192
2052	130	188
2053	131	189
2054	139	199
2055	150	215
2056	159	232
2057	159	241
2058	150	240
2059	134	227
2060	117	208
2061	107	192
2062	107	185
2063	115	186
2064	123	190
2065	126	191
2066	125	190
2067	120	183
2068	119	177
2069	123	178
2070	136	191
2071	151	211
2072	162	231
2073	162	242
2074	153	242
2075	138	231
2076	124	216
2077	117	205
2078	118	202
2079	123	203
2080	125	204
2081	124	201
2082	116	190
2083	108	177
2084	107	168
2085	115	169
2086	131	183
2087	148	203
2088	159	223
2089	159	233
2090	152	233
2091	139	225
2092	130	217
2093	129	214
2094	131	216
2095	133	220
2096	132	220
2097	124	210
2098	111	193
2099	100	175
2100	99	163
2101	108	163
2102	125	177
2103	141	195
2104	152	211
2105	152	217
2106	145	217
2107	138	213
2108	136	212
2109	138	216
2110	144	226
2111	145	231
2112	141	231
