
TIME STEP:
125 = 2ms

VOLTAGE STEP:
CH1:  32 = 1.5V~
CH2:  32 = 0.5V~

N	CH1	CH2
865	102	172
866	93	185
867	92	194
868	100	196
869	115	195
870	135	193
871	157	194
872	177	204
873	194	220
874	205	233
875	209	235
876	208	229
877	199	211
878	185	191
879	165	176
880	143	174
881	121	177
882	104	184
883	93	185
884	91	180
885	96	173
886	109	171
887	126	176
888	145	191
889	166	211
890	184	226
891	199	228
892	208	223
893	208	207
894	203	193
895	189	183
896	169	182
897	146	185
898	125	185
899	107	181
900	94	168
901	90	156
902	92	153
903	101	159
904	116	177
905	134	197
906	154	213
907	174	215
908	193	210
909	205	199
910	207	190
911	203	189
912	190	191
913	172	192
914	150	190
915	130	177
916	111	160
917	96	145
918	88	141
919	87	145
920	92	161
921	104	180
922	123	193
923	144	194
924	167	191
925	186	183
926	199	182
927	202	187
928	201	196
929	191	197
930	175	192
931	156	174
932	136	153
933	115	136
934	98	132
935	85	135
936	82	149
937	84	161
938	94	168
939	113	168
940	135	165
941	157	164
942	176	169
943	190	181
944	198	193
945	198	195
946	192	191
947	179	173
948	161	151
949	140	133
950	118	129
951	99	132
952	83	141
953	77	147
954	78	147
955	87	142
956	104	139
957	124	141
958	145	152
959	165	169
960	180	185
961	191	187
962	194	183
963	193	166
964	182	147
965	165	134
966	144	130
967	120	132
968	99	136
969	82	136
970	74	128
971	73	117
972	80	113
973	94	117
974	111	132
975	131	152
976	152	169
977	172	172
978	185	168
979	192	155
980	192	142
981	183	135
982	166	135
983	145	136
984	122	136
985	101	128
986	84	113
987	73	98
988	71	93
989	73	96
990	83	113
991	98	133
992	118	149
993	141	151
994	162	149
995	178	139
996	188	133
997	188	134
998	181	138
999	167	140
1000	148	137
1001	126	122
1002	106	102
1003	87	85
1004	73	79
1005	65	82
1006	65	96
1007	72	113
1008	87	124
1009	107	125
1010	130	122
1011	152	118
1012	170	119
1013	180	127
1014	181	137
1015	179	140
1016	167	136
1017	151	121
1018	131	97
1019	110	78
1020	88	71
1021	72	73
1022	61	85
1023	59	95
1024	64	99
1025	78	98
1026	97	94
1027	119	94
1028	141	102
1029	159	118
1030	172	131
1031	177	135
1032	177	133
1033	170	116
1034	155	94
1035	136	78
1036	114	72
1037	91	74
1038	72	80
1039	58	82
1040	56	80
1041	58	73
1042	71	70
1043	87	71
1044	107	84
1045	128	103
1046	147	120
1047	163	125
1048	173	123
1049	174	108
1050	171	91
1051	159	80
1052	139	77
1053	116	78
1054	93	79
1055	73	77
1056	59	66
1057	53	54
1058	54	48
1059	62	50
1060	77	66
1061	95	87
1062	116	104
1063	137	109
1064	156	107
1065	169	96
1066	172	86
1067	171	82
1068	159	83
1069	141	85
1070	120	85
1071	97	74
1072	78	59
1073	62	41
1074	53	34
1075	51	35
1076	54	51
1077	65	69
1078	83	86
1079	105	89
1080	128	88
1081	149	81
1082	163	79
1083	169	82
1084	169	89
1085	160	92
1086	144	91
1087	125	77
1088	104	55
1089	84	36
1090	66	27
1091	52	29
1092	47	42
1093	48	57
1094	58	67
1095	76	68
1096	96	66
1097	120	64
1098	140	67
1099	156	78
1100	165	91
1101	165	97
1102	161	95
1103	149	79
1104	133	57
1105	112	38
1106	90	30
1107	69	32
1108	53	40
1109	44	49
1110	43	50
1111	52	48
1112	69	45
1113	88	45
1114	110	55
1115	130	71
1116	147	88
1117	159	96
1118	164	95
1119	164	81
1120	155	62
1121	140	46
1122	118	40
1123	95	41
1124	73	47
1125	55	47
1126	45	42
1127	44	33
1128	50	28
1129	62	29
1130	81	44
1131	99	63
1132	120	83
1133	140	91
1134	155	90
1135	165	78
1136	165	65
1137	159	55
1138	144	54
1139	124	57
1140	101	57
1141	79	53
1142	61	40
1143	49	25
1144	45	18
1145	46	19
1146	56	33
1147	72	55
1148	90	73
1149	112	81
1150	134	80
1151	152	72
1152	164	65
1153	165	65
1154	161	69
1155	148	73
1156	130	73
1157	109	63
1158	88	44
1159	70	25
1160	54	16
1161	46	17
1162	45	31
1163	50	49
1164	64	64
1165	83	68
1166	106	68
1167	129	64
1168	148	64
1169	161	71
1170	164	82
1171	163	89
1172	153	88
1173	138	75
1174	120	53
1175	99	34
1176	78	23
1177	60	24
1178	48	35
1179	45	48
1180	47	56
1181	60	56
1182	79	54
1183	101	53
1184	123	60
1185	142	74
1186	156	90
1187	164	100
1188	164	100
1189	160	87
1190	148	66
1191	130	48
1192	108	39
1193	86	40
1194	66	48
1195	52	54
1196	46	54
1197	48	48
1198	58	43
1199	75	44
1200	94	55
1201	116	75
1202	136	95
1203	152	106
1204	164	106
1205	168	94
1206	167	79
1207	157	66
1208	139	62
1209	117	63
1210	95	66
1211	73	66
1212	59	59
1213	51	47
1214	50	39
1215	58	40
1216	71	54
1217	88	75
1218	108	95
1219	130	107
1220	150	107
1221	165	98
1222	173	89
1223	173	83
1224	163	84
1225	147	88
1226	127	88
1227	105	83
1228	84	68
1229	69	52
1230	58	41
1231	54	42
1232	56	56
1233	66	76
1234	82	94
1235	104	104
1236	126	104
1237	148	99
1238	165	95
1239	175	97
1240	175	105
1241	169	113
1242	156	113
1243	138	103
1244	118	85
1245	98	65
1246	79	53
1247	65	54
1248	57	66
1249	56	81
1250	64	93
1251	80	98
1252	101	97
1253	124	96
