
TIME STEP:
125 = 2ms

VOLTAGE STEP:
CH1:  32 = 0.5V~
CH2:  32 = 0.5V~

N	CH1	CH2
936	87	86
937	87	86
938	85	77
939	81	61
940	74	46
941	65	43
942	59	46
943	58	63
944	63	85
945	71	100
946	81	106
947	87	105
948	92	99
949	93	98
950	95	100
951	100	107
952	101	111
953	104	110
954	104	95
955	98	75
956	90	58
957	80	53
958	73	56
959	72	70
960	75	87
961	79	98
962	85	100
963	89	100
964	92	99
965	94	103
966	98	115
967	105	127
968	112	132
969	117	130
970	117	115
971	115	94
972	106	77
973	96	70
974	90	73
975	87	83
976	88	92
977	90	96
978	92	96
979	92	94
980	93	96
981	96	107
982	102	125
983	111	142
984	120	149
985	129	148
986	130	133
987	129	114
988	123	99
989	116	96
990	111	98
991	107	103
992	107	104
993	107	102
994	103	94
995	101	92
996	98	94
997	99	109
998	105	131
999	117	151
1000	127	159
1001	136	158
1002	140	146
1003	140	133
1004	136	124
1005	132	123
1006	130	125
1007	129	126
1008	127	122
1009	125	111
1010	120	98
1011	112	93
1012	107	96
1013	107	114
1014	112	136
1015	121	154
1016	134	161
1017	141	160
1018	144	152
1019	145	146
1020	145	146
1021	146	150
1022	148	153
1023	149	152
1024	149	142
1025	144	123
1026	136	108
1027	128	103
1028	124	107
1029	121	122
1030	123	141
1031	130	155
1032	138	160
1033	144	159
1034	148	156
1035	150	157
1036	152	164
1037	158	175
1038	164	179
1039	168	177
1040	168	163
1041	164	143
1042	155	124
1043	145	118
1044	137	120
1045	136	133
1046	137	147
1047	141	154
1048	145	154
1049	147	153
1050	148	154
1051	152	162
1052	156	177
1053	165	192
1054	172	198
1055	180	197
1056	181	182
1057	179	161
1058	171	145
1059	163	139
1060	157	141
1061	153	149
1062	154	155
1063	154	155
1064	154	151
1065	153	149
1066	152	151
1067	154	164
1068	159	184
1069	169	203
1070	179	211
1071	188	210
1072	190	196
1073	190	180
1074	185	167
1075	179	164
1076	176	166
1077	174	168
1078	173	168
1079	170	161
1080	167	151
1081	160	147
1082	158	150
1083	157	165
1084	163	187
1085	172	206
1086	183	215
1087	192	214
1088	196	204
1089	196	193
1090	195	188
1091	192	189
1092	193	192
1093	193	192
1094	191	185
1095	188	169
1096	180	154
1097	172	148
1098	166	151
1099	164	165
1100	167	185
1101	175	203
1102	184	211
1103	191	210
1104	195	205
1105	197	202
1106	198	203
1107	201	211
1108	203	214
1109	206	213
1110	206	201
1111	202	182
1112	194	164
1113	184	155
1114	176	157
1115	173	170
1116	174	186
1117	180	198
1118	183	201
1119	188	201
1120	193	200
1121	197	203
1122	198	213
1123	204	226
1124	210	232
1125	217	231
1126	217	217
1127	214	196
1128	208	177
1129	196	167
1130	189	168
1131	185	178
1132	185	188
1133	186	192
1134	188	192
1135	188	188
1136	188	189
1137	190	198
1138	194	215
1139	201	232
1140	212	241
1141	220	240
1142	222	227
1143	221	208
1144	215	192
1145	207	184
1146	201	185
1147	198	191
1148	196	192
1149	195	190
1150	193	182
1151	189	177
1152	185	178
1153	185	191
1154	190	211
1155	200	232
1156	209	241
1157	218	241
1158	222	231
1159	222	216
1160	219	205
1161	214	203
1162	211	205
1163	209	205
1164	204	201
1165	204	190
1166	199	177
1167	191	168
1168	185	169
1169	184	183
1170	186	204
1171	194	223
