
TIME STEP:
125 = 1ms

VOLTAGE STEP:
CH1:  32 = 0.5V~
CH2:  32 = 0.5V~

N	CH1	CH2
1341	140	103
1342	153	122
1343	166	135
1344	177	143
1345	185	143
1346	187	137
1347	187	127
1348	181	112
1349	172	97
1350	159	82
1351	146	71
1352	133	65
1353	123	64
1354	115	67
1355	110	74
1356	109	82
1357	111	89
1358	114	94
1359	118	94
1360	121	90
1361	121	83
1362	121	69
1363	117	54
1364	111	39
1365	104	26
1366	97	16
1367	91	14
1368	89	17
1369	89	28
1370	94	44
1371	104	64
1372	116	85
1373	131	104
1374	146	121
1375	160	133
1376	172	136
1377	180	136
1378	182	131
1379	182	120
1380	177	109
1381	169	98
1382	160	90
1383	150	87
1384	141	88
1385	135	92
1386	132	100
1387	131	110
1388	132	119
1389	135	125
1390	138	125
1391	139	122
1392	139	113
1393	135	99
1394	129	81
1395	120	62
1396	109	44
1397	98	30
1398	88	22
1399	80	21
1400	77	24
1401	78	36
1402	83	53
1403	93	71
1404	106	88
1405	121	105
1406	136	117
1407	149	124
1408	159	125
1409	166	122
1410	168	116
1411	168	107
1412	164	100
1413	158	95
1414	152	94
1415	147	98
1416	144	104
1417	143	117
1418	145	130
1419	148	143
1420	153	152
1421	158	156
1422	160	156
1423	160	149
1424	158	135
1425	150	118
1426	140	98
1427	127	78
1428	114	60
1429	99	47
1430	88	39
1431	79	39
1432	75	44
1433	76	55
1434	81	69
1435	90	85
1436	101	98
1437	114	108
1438	126	114
1439	137	114
1440	144	112
1441	148	106
1442	148	98
1443	147	92
1444	144	88
1445	141	88
1446	139	94
1447	138	104
1448	140	119
1449	146	136
1450	152	152
1451	160	166
1452	168	177
1453	175	180
1454	178	179
1455	178	169
1456	173	154
1457	164	136
1458	152	116
1459	138	97
1460	122	83
1461	108	72
1462	96	68
1463	87	69
1464	83	75
1465	84	85
1466	88	96
1467	95	106
1468	104	113
1469	113	116
1470	121	115
1471	126	110
1472	129	102
1473	129	92
1474	127	84
1475	124	78
1476	121	77
1477	119	82
1478	120	92
1479	124	107
1480	131	127
1481	141	147
1482	153	166
1483	164	181
1484	175	191
1485	183	192
1486	187	190
1487	187	181
1488	183	166
1489	173	150
1490	161	133
1491	147	118
1492	133	107
1493	120	102
1494	110	101
1495	103	105
1496	100	113
1497	101	121
1498	104	129
1499	109	134
1500	114	134
1501	118	131
1502	120	122
1503	120	110
1504	117	97
1505	113	85
1506	107	75
1507	102	70
1508	99	71
1509	98	80
1510	101	92
1511	109	111
1512	119	135
1513	134	157
1514	149	176
1515	163	188
1516	175	195
1517	183	195
1518	187	189
1519	187	179
1520	181	167
1521	173	153
1522	162	143
1523	151	136
1524	140	133
1525	131	134
1526	125	139
1527	122	147
1528	122	155
1529	124	162
1530	127	165
1531	129	164
1532	129	157
1533	129	146
1534	125	131
1535	119	114
1536	111	97
1537	101	84
1538	93	75
1539	86	73
1540	82	76
1541	83	87
1542	88	103
1543	98	122
1544	111	143
1545	125	160
1546	140	175
1547	155	185
1548	166	187
1549	174	187
1550	176	180
1551	176	171
1552	172	162
1553	165	154
1554	158	151
1555	150	150
1556	144	154
1557	140	162
1558	139	172
1559	141	184
1560	144	193
1561	147	199
1562	150	199
1563	150	193
1564	149	183
1565	144	166
1566	135	147
1567	124	127
1568	112	109
1569	99	95
1570	88	87
1571	80	86
1572	75	91
1573	76	101
1574	81	117
1575	91	133
1576	103	150
1577	117	163
1578	130	172
1579	142	177
1580	151	177
1581	157	172
1582	158	165
1583	158	157
1584	155	152
1585	150	150
1586	146	151
1587	144	158
1588	143	169
1589	145	184
1590	149	199
1591	155	213
1592	161	223
1593	167	227
1594	170	226
1595	170	217
1596	166	203
1597	158	184
1598	147	166
1599	133	146
1600	118	129
1601	104	116
1602	91	110
1603	83	109
1604	79	116
1605	79	126
1606	83	138
1607	91	151
1608	102	161
1609	112	168
1610	122	169
1611	130	169
1612	136	163
1613	138	155
1614	138	148
1615	136	141
1616	132	140
1617	130	142
1618	129	149
1619	131	162
1620	136	179
1621	144	197
1622	152	215
1623	162	231
1624	172	241
1625	179	243
1626	183	242
1627	183	232
1628	179	218
1629	170	200
1630	158	182
1631	143	164
1632	128	151
1633	114	143
1634	102	141
1635	95	142
1636	91	149
1637	91	158
1638	95	167
1639	101	174
1640	108	177
1641	114	177
1642	119	173
1643	122	165
1644	122	154
1645	120	143
1646	116	133
1647	112	128
1648	109	128
1649	108	134
1650	110	146
1651	115	162
1652	124	183
1653	136	203
1654	149	223
1655	162	238
1656	174	247
1657	183	248
1658	188	246
1659	188	236
1660	183	223
1661	175	207
1662	163	193
1663	150	181
1664	138	173
1665	126	171
1666	117	172
1667	112	177
1668	110	185
1669	111	193
1670	114	199
1671	117	200
1672	121	199
1673	122	192
1674	122	180
1675	119	165
1676	114	150
1677	107	136
1678	100	126
1679	93	121
1680	89	122
1681	89	131
1682	92	145
1683	100	163
1684	111	184
1685	126	204
1686	141	222
1687	156	234
1688	168	241
1689	177	241
1690	182	237
1691	182	229
1692	178	217
1693	171	207
1694	162	198
1695	152	192
1696	143	191
1697	136	195
1698	132	202
1699	130	212
1700	131	221
1701	134	227
1702	137	229
1703	139	228
1704	139	221
1705	136	207
1706	131	191
1707	122	171
1708	112	153
1709	101	138
1710	90	127
1711	82	124
1712	78	126
1713	77	135
1714	81	150
1715	89	167
1716	101	186
1717	116	202
1718	130	217
1719	144	225
1720	155	226
1721	163	225
1722	167	220
1723	167	211
1724	164	203
1725	159	197
1726	153	195
1727	147	196
1728	144	203
1729	142	213
1730	143	226
1731	146	238
1732	150	249
1733	155	255
1734	159	255
1735	159	250
1736	158	239
1737	152	223
1738	143	202
1739	130	182
1740	117	163
1741	103	149
1742	90	139
1743	81	137
1744	76	140
1745	75	149
1746	78	161
1747	86	176
1748	97	191
1749	109	202
1750	121	209
1751	132	210
1752	140	209
1753	145	203
1754	146	196
1755	146	188
1756	143	183
1757	140	182
1758	137	185
1759	136	194
1760	138	207
1761	142	223
1762	148	240
1763	156	255
1764	164	255
1765	171	255
1766	175	255
1767	175	255
1768	174	250
1769	166	232
1770	154	213
1771	140	193
1772	126	177
1773	111	164
1774	98	158
1775	88	157
1776	83	162
1777	82	170
1778	85	181
1779	91	192
1780	100	199
1781	109	203
1782	117	203
1783	123	199
1784	126	191
1785	126	182
1786	126	171
1787	123	165
1788	119	163
1789	117	164
1790	118	173
1791	120	187
1792	127	204
1793	136	224
1794	147	244
1795	159	255
1796	170	255
1797	179	255
1798	184	255
1799	184	255
1800	182	252
1801	174	235
1802	163	219
1803	149	202
1804	135	190
1805	121	183
1806	111	182
1807	103	183
1808	99	189
1809	98	197
1810	101	205
1811	105	210
1812	111	211
1813	115	209
1814	118	202
1815	118	191
1816	116	177
1817	112	163
1818	107	152
1819	102	146
1820	97	145
1821	96	150
1822	98	161
1823	103	178
1824	113	198
1825	125	219
1826	140	238
1827	154	253
1828	167	255
1829	177	255
1830	183	255
1831	184	255
1832	181	243
1833	175	229
1834	165	216
1835	153	207
1836	142	200
1837	132	199
1838	124	202
1839	120	209
1840	119	217
1841	120	225
1842	122	230
1843	125	230
1844	127	227
1845	127	217
1846	125	203
1847	120	186
1848	113	169
1849	104	152
1850	95	141
1851	87	134
1852	81	134
1853	80	141
1854	82	153
1855	89	170
1856	100	190
1857	115	210
1858	130	226
1859	144	237
1860	157	245
1861	167	245
1862	173	240
1863	173	233
1864	172	223
1865	166	214
1866	159	207
1867	151	204
1868	144	205
1869	139	211
1870	136	219
1871	136	230
1872	138	240
1873	142	248
1874	145	249
1875	147	248
1876	147	239
1877	144	225
1878	137	207
1879	127	187
1880	115	167
1881	103	150
1882	91	138
1883	81	132
1884	74	133
1885	73	141
1886	75	153
1887	82	168
1888	93	185
1889	106	200
1890	120	212
1891	133	218
1892	144	219
